open,high,low,close,volume,close_time,quote,takers_buy_base,takers_buy_quote,predicted_close,actual_close,abs_error
6756.62,6900.0,6651.9,6824.25,15711.050714,2020-03-20 05:59:59.999000-05:00,106629565.20578784,7874.93275,53496456.52156832,0.055746794,0.057028204,0.0012814105
6824.28,6878.7,6559.69,6659.99,14955.661815,2020-03-20 06:59:59.999000-05:00,100081243.85365751,7215.763289,48292362.66102024,0.051445484,0.058428388,0.006982904
6659.99,6690.0,6531.0,6613.52,10308.413708,2020-03-20 07:59:59.999000-05:00,68039212.71093316,4305.290835,28426344.90436783,0.055869997,0.05702348,0.001153484
6614.1,6616.34,6420.0,6545.13,12660.215267,2020-03-20 08:59:59.999000-05:00,82471070.73393413,5769.522462,37566542.5643139,0.054415643,0.056586362,0.0021707192
6545.51,6714.53,6532.19,6604.26,10722.393618,2020-03-20 09:59:59.999000-05:00,71159699.0540994,5164.079678,34273406.47195312,0.047902793,0.05489517,0.0069923773
6604.27,6642.83,6533.58,6614.66,5745.689947,2020-03-20 10:59:59.999000-05:00,37820165.41227818,2818.126752,18551980.83261294,0.045959175,0.056604493,0.010645319
6614.32,6664.99,6321.12,6438.18,13369.470504,2020-03-20 11:59:59.999000-05:00,86187601.51415463,6049.488337,39002953.88682651,0.046349347,0.05662567,0.010276325
6438.19,6472.2,6342.02,6415.9,5791.165677,2020-03-20 12:59:59.999000-05:00,37129408.6095916,2620.470561,16804511.47411772,0.050367534,0.053388637,0.0030211024
6416.04,6423.78,6162.7,6193.66,10839.899103,2020-03-20 13:59:59.999000-05:00,67933858.6112944,5099.655283,31954258.39647534,0.057522207,0.05370707,0.0038151368
6192.59,6293.29,6153.74,6187.59,5934.172553,2020-03-20 14:59:59.999000-05:00,36987362.50331734,2947.685707,18374227.37581441,0.052667737,0.050974958,0.0016927794
6184.53,6190.0,5670.0,5963.79,24066.764235,2020-03-20 15:59:59.999000-05:00,143076895.0655757,10318.877497,61333164.58048959,0.049114913,0.050838444,0.0017235316
5970.09,6269.94,5901.23,6239.19,10685.452145,2020-03-20 16:59:59.999000-05:00,65062208.6466107,5367.817512,32696679.93929196,0.04350564,0.0434682,3.7439167e-05
6239.19,6374.99,6057.01,6162.1,10734.676854,2020-03-20 17:59:59.999000-05:00,66669137.3428662,5143.01319,31943159.66766554,0.052399755,0.04699121,0.005408544
